Table 6 
Nucleosynthesis Yields for the Stable Isotopes of the Benchmark Model at Different Metallicities
Note. The model at solar metallicity is Model 110-100-2-50. Masses are in units of solar mass.

Isotope	Z = 0	Z = 0.1 Z_sun	Z = 0.5 Z_sun	Z = Z_sun	Z = 2 Z_sun	Z = 3 Z_sun	Z = 5 Z_sun	
^44Ca	5.52 x 10^-4	5.49 x 10^-4	5.15 x 10^-4	5.14 x 10^-4	5.13 x 10^-4	5.13 x 10^-4	4.74 x 10^-4	
^46Ca	6.40 x 10^-12	6.41 x 10^-12	2.80 x 10^-11	1.78 x 10^-10	9.73 x 10^-10	7.95 x 10^-9	2.18 x 10^-9	
^48Ca	1.93 x 10^-15	1.93 x 10^-15	1.53 x 10^-14	9.31 x 10^-12	7.31 x 10^-14	1.36 x 10^-10	2.20 x 10^-12	
^45Sc	1.54 x 10^-6	1.61 x 10^-6	1.60 x 10^-6	1.67 x 10^-6	1.72 x 10^-6	1.61 x 10^-6	1.45 x 10^-6	
^46Ti	8.89 x 10^-6	9.57 x 10^-6	1.96 x 10^-5	2.94 x 10^-5	4.46 x 10^-5	5.13 x 10^-5	4.25 x 10^-5	
^47Ti	8.26 x 10^-5	8.28 x 10^-5	8.57 x 10^-5	8.61 x 10^-5	8.63 x 10^-5	7.71 x 10^-5	7.21 x 10^-5	
^48Ti	5.10 x 10^-3	5.7 x 10^-3	4.89 x 10^-3	4.87 x 10^-3	4.85 x 10^-3	4.27 x 10^-3	4.54 x 10^-3	
^49Ti	5.11 x 10^-5	5.50 x 10^-5	5.11 x 10^-5	5.24 x 10^-5	5.30 x 10^-5	4.97 x 10^-5	5.37 x 10^-5	
^50Ti	2.74 x 10^-9	2.74 x 10^-9	8.21 x 10^-9	1.22 x 10^-5	1.8 x 10^-8	5.2 x 10^-7	9.39 x 10^-9	
^50V	4.91 x 10^-7	4.91 x 10^-7	8.36 x 10^-7	8.42 x 10^-7	8.43 x 10^-7	1.73 x 10^-6	2.43 x 10^-7	
^51V	6.10 x 10^-4	6.12 x 10^-4	5.77 x 10^-4	5.89 x 10^-4	5.93 x 10^-4	5.62 x 10^-4	5.70 x 10^-4	
^50Cr	1.0 x 10^-4	1.7 x 10^-4	1.50 x 10^-4	2.18 x 10^-4	3.50 x 10^-4	4.46 x 10^-4	5.18 x 10^-4	
^52Cr	1.78 x 10^-2	1.76 x 10^-2	1.59 x 10^-2	1.60 x 10^-2	1.56 x 10^-2	1.57 x 10^-2	1.73 x 10^-2	
^53Cr	4.25 x 10^-4	4.74 x 10^-4	4.39 x 10^-4	4.87 x 10^-4	5.20 x 10^-4	5.96 x 10^-4	7.64 x 10^-4	
^54Cr	8.73 x 10^-6	8.73 x 10^-6	1.28 x 10^-5	1.37 x 10^-4	1.30 x 10^-5	1.72 x 10^-5	6.57 x 10^-6	
^55Mn	1.79 x 10^-3	1.95 x 10^-3	1.89 x 10^-3	2.28 x 10^-3	2.60 x 10^-3	3.85 x 10^-3	7.26 x 10^-3	
^54Fe	8.76 x 10^-4	1.36 x 10^-3	3.59 x 10^-3	7.80 x 10^-3	1.23 x 10^-2	1.94 x 10^-2	3.96 x 10^-2	
^56Fe	6.73 x 10^-1	6.69 x 10^-1	6.34 x 10^-1	6.10 x 10^-1	5.83 x 10^-1	5.57 x 10^-1	5.15 x 10^-1	
^57Fe	1.51 x 10^-2	1.60 x 10^-2	1.83 x 10^-2	2.12 x 10^-2	2.52 x 10^-2	2.84 x 10^-2	3.30 x 10^-2	
^58Fe	6.90 x 10^-6	6.90 x 10^-6	9.56 x 10^-6	4.39 x 10^-4	9.61 x 10^-6	1.12 x 10^-5	3.94 x 10^-6	
^60Fe	1.6 x 10^-13	1.1 x 10^-13	5.65 x 10^-13	1.34 x 10^-9	5.63 x 10^-13	4.99 x 10^-10	1.88 x 10^-14	
^59Co	2.25 x 10^-4	2.87 x 10^-4	5.38 x 10^-4	7.19 x 10^-4	7.79 x 10^-4	7.42 x 10^-4	6.80 x 10^-4	
^58Ni	4.35 x 10^-3	5.59 x 10^-3	1.56 x 10^-2	3.26 x 10^-2	5.80 x 10^-2	8.56 x 10^-2	1.40 x 10^-1	
^60Ni	1.0 x 10^-2	1.2 x 10^-2	9.8 x 10^-3	8.28 x 10^-3	6.37 x 10^-3	5.34 x 10^-3	3.57 x 10^-3	
^61Ni	5.14 x 10^-4	5.26 x 10^-4	5.85 x 10^-4	5.99 x 10^-4	5.98 x 10^-4	5.47 x 10^-4	4.63 x 10^-4	
^62Ni	4.81 x 10^-4	6.51 x 10^-4	1.33 x 10^-3	2.20 x 10^-3	2.92 x 10^-3	3.30 x 10^-3	3.63 x 10^-3	
^64Ni	1.43 x 10^-9	1.44 x 10^-9	3.64 x 10^-9	6.96 x 10^-7	3.55 x 10^-9	4.69 x 10^-8	3.77 x 10^-10	
^63Cu	5.19 x 10^-6	6.28 x 10^-6	4.98 x 10^-6	5.59 x 10^-6	6.16 x 10^-6	6.44 x 10^-6	7.66 x 10^-6	
^65Cu	1.73 x 10^-5	1.74 x 10^-5	1.73 x 10^-5	1.76 x 10^-5	1.74 x 10^-5	1.62 x 10^-5	1.39 x 10^-5	
^64Zn	2.13 x 10^-4	1.88 x 10^-4	1.20 x 10^-4	1.16 x 10^-4	1.12 x 10^-4	1.0 x 10^-4	8.22 x 10^-5	
^66Zn	3.87 x 10^-5	4.6 x 10^-5	4.33 x 10^-5	5.2 x 10^-5	5.65 x 10^-5	5.75 x 10^-5	6.31 x 10^-5	
^67Zn	4.83 x 10^-6	4.83 x 10^-6	4.18 x 10^-6	4.36 x 10^-6	4.20 x 10^-6	3.70 x 10^-6	3.97 x 10^-6	
^68Zn	6.64 x 10^-6	6.37 x 10^-6	7.52 x 10^-6	7.56 x 10^-6	7.51 x 10^-6	6.36 x 10^-6	4.42 x 10^-6	
^70Zn	1.99 x 10^-16	2.38 x 10^-16	2.40 x 10^-15	1.10 x 10^-13	1.16 x 10^-15	6.22 x 10^-12	4.92 x 10^-17	
