Star   [Fe/H] [Fe/H]err   [O1/Fe] [O1/Fe]err  [Na/Fe] [Na/Fe]err  [Mg/Fe] [Mg/Fe]err  [Si/Fe] [Si/Fe]err  [Ca/Fe] [Ca/Fe]err  [Ti1/Fe] [Ti1/Fe]err [Ti2/Fe] [Ti2/Fe]err [Sc/Fe] [Sc/Fe]err [Fe2/Fe] [Fe2/Fe]err  [Cr/Fe] [Cr/Fe]err [Ni/Fe] [Ni/Fe]err  [Co/Fe] [Co/Fe]err  [Zn/Fe] [Zn/Fe]err  [Y/Fe] [Y/Fe]err  [Ba/Fe] [Ba/Fe]err  [La/Fe] [La/Fe]err  [Nd/Fe] [Nd/Fe]err  [Eu/Fe] [Eu/Fe]err
ET0327  -1.32  0.16 -99.00  9.90 -99.00  9.90  -0.12  0.18   0.28  0.22   0.06  0.07  -0.16  0.10  -0.01  0.21 -99.00  9.90   0.07  0.25  -0.07  0.15  -0.10  0.15  -0.51  0.17 -99.00  9.90 -99.00  9.90  -0.07  0.21  -0.05  0.21 -99.00  9.90 -99.00  9.90
ET0330  -2.00  0.24 -99.00  9.90 -99.00  9.90   0.40  0.24 -99.00  9.90   0.17  0.09 -99.00  9.90   0.08  0.30 -99.00  9.90   0.14  0.32  -0.33  0.23 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.91  0.27 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0339  -1.08  0.14 -99.00  9.90 -99.00  9.90  -0.54  0.18 -99.00  9.90  -0.10  0.11  -0.44  0.11  -0.36  0.20 -99.00  9.90   0.08  0.26  -0.26  0.15 -99.00  9.90  -0.38  0.17 -99.00  9.90 -99.00  9.90  -0.23  0.24  -0.05  0.23 -99.00  9.90   0.16  0.24
ET0342  -1.35  0.20 -99.00  9.90 -99.00  9.90  -0.12  0.24 -99.00  9.90   0.08  0.11   0.02  0.17  -0.13  0.31 -99.00  9.90   0.08  0.30  -0.14  0.25   0.19  0.21  -0.17  0.21 -99.00  9.90 -99.00  9.90   0.17  0.26 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0350  -1.90  0.21 -99.00  9.90 -99.00  9.90   0.26  0.20 -99.00  9.90   0.39  0.09 -99.00  9.90   0.25  0.28 -99.00  9.90   0.10  0.32   0.03  0.18 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.12  0.25 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0354  -1.07  0.20 -99.00  9.90 -99.00  9.90  -0.02  0.23 -99.00  9.90  -0.05  0.09  -0.15  0.14  -0.11  0.40 -99.00  9.90   0.05  0.26   0.03  0.16   0.03  0.23  -0.45  0.20 -99.00  9.90 -99.00  9.90  -0.01  0.23   0.03  0.25 -99.00  9.90 -99.00  9.90
ET0363  -1.28  0.17 -99.00  9.90 -99.00  9.90   0.16  0.19 -99.00  9.90   0.05  0.08  -0.15  0.12   0.04  0.27  -0.06  0.27   0.11  0.28  -0.31  0.14  -0.20  0.18 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.27  0.22   0.14  0.23 -99.00  9.90 -99.00  9.90
ET0369  -2.35  0.20 -99.00  9.90 -99.00  9.90   0.22  0.19 -99.00  9.90   0.31  0.14   0.72  0.27  -0.01  0.24 -99.00  9.90   0.10  0.28  -0.18  0.15 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -1.05  0.22 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0373  -1.96  0.21 -99.00  9.90 -99.00  9.90   0.34  0.23 -99.00  9.90   0.11  0.10   0.43  0.18   0.07  0.26 -99.00  9.90   0.13  0.30  -0.37  0.22   0.52  0.22   0.02  0.23 -99.00  9.90 -99.00  9.90  -0.34  0.27   0.53  0.26 -99.00  9.90 -99.00  9.90
ET0376  -1.17  0.17   0.01  0.31 -99.00  9.90  -0.23  0.25 -99.00  9.90   0.01  0.09  -0.27  0.14   0.12  0.23 -99.00  9.90   0.10  0.32  -0.20  0.18  -0.22  0.19  -0.34  0.23 -99.00  9.90 -99.00  9.90   0.15  0.35  -0.08  0.26 -99.00  9.90 -99.00  9.90
ET0378  -1.18  0.15 -99.00  9.90   0.07  0.25   0.11  0.25 -99.00  9.90  -0.07  0.07  -0.22  0.14  -0.16  0.24 -99.00  9.90   0.08  0.29   0.02  0.19  -0.29  0.18  -0.23  0.22 -99.00  9.90 -99.00  9.90  -0.03  0.23  -0.17  0.24 -99.00  9.90   0.31  0.29
ET0379  -1.65  0.18 -99.00  9.90 -99.00  9.90  -0.07  0.23 -99.00  9.90   0.16  0.06  -0.04  0.14  -0.01  0.25 -99.00  9.90   0.04  0.26  -0.30  0.20   0.43  0.22  -0.23  0.23 -99.00  9.90 -99.00  9.90  -0.40  0.24 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0382  -1.74  0.23 -99.00  9.90 -99.00  9.90   0.35  0.22 -99.00  9.90   0.28  0.09   0.31  0.16   0.36  0.27 -99.00  9.90   0.05  0.30   0.27  0.29 -99.00  9.90   0.02  0.21 -99.00  9.90 -99.00  9.90   0.34  0.37 -99.00  9.90 -99.00  9.90   0.81  0.31
ET0384  -1.46  0.22 -99.00  9.90 -99.00  9.90  -0.08  0.25 -99.00  9.90   0.07  0.10   0.15  0.21   0.14  0.33   0.11  0.33   0.08  0.29   0.14  0.18   0.09  0.18  -0.18  0.26 -99.00  9.90 -99.00  9.90   0.31  0.29 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0389  -1.60  0.22 -99.00  9.90 -99.00  9.90   0.23  0.30 -99.00  9.90   0.25  0.08  -0.03  0.19   0.41  0.25 -99.00  9.90   0.13  0.30   0.20  0.26   0.19  0.30   0.23  0.29 -99.00  9.90 -99.00  9.90   0.43  0.31   0.41  0.29 -99.00  9.90   0.83  0.36
ET0392  -1.48  0.20 -99.00  9.90 -99.00  9.90   0.09  0.22 -99.00  9.90   0.23  0.06   0.06  0.16   0.11  0.24   0.16  0.31   0.07  0.28   0.01  0.15 -99.00  9.90  -0.17  0.21 -99.00  9.90 -99.00  9.90  -0.10  0.29   0.39  0.26 -99.00  9.90 -99.00  9.90
ET0049  -2.18  0.20   0.65  0.26   0.16  0.23   0.41  0.14 -99.00  9.90   0.27  0.08  -0.02  0.15   0.23  0.23  -0.23  0.33   0.15  0.29  -0.40  0.23   0.01  0.34   0.04  0.17  -0.23  0.33  -0.44  0.22  -0.29  0.25   0.20  0.27 -99.00  9.90 -99.00  9.90
ET0065  -1.17  0.15  -0.03  0.19  -0.76  0.14   0.00  0.17  -0.21  0.17   0.02  0.10  -0.31  0.13  -0.14  0.18  -0.23  0.21   0.06  0.24 -99.00  9.90  -0.17  0.16  -0.44  0.16  -0.23  0.21  -0.65  0.17  -0.03  0.26  -0.16  0.17   0.02  0.17   0.03  0.25
ET0074  -1.15  0.17  -0.01  0.29  -0.89  0.26  -0.02  0.31  -0.26  0.28   0.00  0.09  -0.50  0.10  -0.28  0.21  -0.27  0.31   0.06  0.25   0.07  0.36  -0.27  0.18  -0.69  0.25  -0.27  0.31  -0.85  0.24   0.42  0.24  -0.06  0.20   0.14  0.23   0.12  0.30
ET0082  -1.15  0.15   0.00  0.18  -0.47  0.18   0.00  0.17  -0.35  0.23  -0.08  0.11  -0.39  0.14  -0.04  0.17  -0.47  0.25   0.10  0.22 -99.00  9.90  -0.41  0.19  -0.52  0.16  -0.47  0.25  -0.49  0.23   0.25  0.23  -0.27  0.15   0.02  0.18   0.09  0.24
ET0112  -2.04  0.18   0.67  0.19  99.00  9.90   0.43  0.13 -99.00  9.90   0.08  0.08   0.02  0.12   0.23  0.20 -99.00  9.90   0.09  0.24  -0.42  0.34  -0.21  0.36   0.11  0.17 -99.00  9.90  -0.45  0.26  -0.22  0.24 -99.00  9.90   0.46  0.23 -99.00  9.90
ET0127  -1.72  0.17   0.31  0.26  -0.22  0.21   0.07  0.29   0.23  0.30  -0.01  0.08  -0.06  0.11   0.60  0.21  -0.19  0.32   0.13  0.24  -0.07  0.38   0.15  0.21   0.05  0.29  -0.19  0.32  -0.33  0.22   0.05  0.27   0.14  0.28   0.14  0.28 -99.00  9.90
ET0130  -2.20  0.21   0.81  0.23   0.84  0.19   0.36  0.23 -99.00  9.90   0.28  0.11  -0.07  0.13   0.42  0.22   0.09  0.19   0.18  0.26  -0.03  0.23   0.18  0.35 -99.00  9.90   0.09  0.19  -0.32  0.29  -0.17  0.24 -99.00  9.90 -99.00  9.90   0.90  0.28
ET0143  -1.77  0.18   0.07  0.24  -0.32  0.25   0.17  0.25   0.52  0.22   0.51  0.09  -0.22  0.14   0.03  0.21  -0.05  0.30   0.09  0.26  -0.27  0.29   0.14  0.38   0.10  0.25  -0.05  0.30  -0.56  0.24   0.31  0.29  -0.01  0.26   0.47  0.31   0.48  0.31
ET0145  -1.51  0.18  -0.10  0.24  -0.45  0.26   0.00  0.26 -99.00  9.90  -0.08  0.07  -0.65  0.12   0.06  0.22  -0.50  0.32   0.09  0.28  -0.10  0.40 -99.00  9.90  -0.19  0.18  -0.50  0.32  -0.93  0.23  -0.73  0.24  -0.30  0.30  -0.14  0.25   0.13  0.32
ET0152  -0.99  0.16  -0.07  0.25  -0.99  0.21  -0.45  0.28  -0.24  0.30   0.17  0.13  -0.77  0.17  -0.53  0.20  -0.30  0.32   0.11  0.28 -99.00  9.90  -0.42  0.18  -0.97  0.27  -0.30  0.32  -0.79  0.19   0.39  0.42  -0.50  0.21  -0.11  0.25  -0.05  0.32
